video_id,video,caption,source,category,url,start time,end time,id,clip_path
video5712,video5712.mp4,"['a carpenter shows people how to do it'
 'a commercial for american carpet' 'a guy talking about carpet'
 'a ma is giving a lesson about installing flooring'
 'a man demonstrating for america carpet wholesalers'
 'a man giving instructions on how to work with carpet'
 'a man is at the table' 'a man is demonstrating a product'
 'a man is demonstrating how to measure wood'
 'a man is doing carpenter work for advertisement'
 'a man measures something on a table' 'a man uses measuring tape'
 'a person is talking about flooring' 'giving add about carpet seller'
 'its a american carpet wholesalers add'
 'man describes how to find your end joints'
 'man teaching how to put down carpet' 'team are playing hockey'
 'its a american carpet wholesalers add'
 'a man demonstrating for america carpet wholesalers']",MSR-VTT,10,https://www.youtube.com/watch?v=LcqwumiTRtk,167.11,182.06,5712,data/MSR-VTT/video5712.mp4
video1821,video1821.mp4,"['a girl is applying a spa treatment to her face'
 'a girl is telling about dark circles'
 'a woman demonstrates beauty products with a voice over'
 'a woman demonstrating how to use a beauty product'
 'a woman demonstrating putting on eye care products'
 'a woman is applying a facial care product on her face'
 'a woman is doing make up'
 'a woman is putting makeup and talk about that'
 'a woman is showing how to use a facial product'
 'a woman is talking about skincare'
 'a woman putting on an under eye mask and talking about it'
 'a women applying something to her face'
 'girl demonstrating an eye mask patch' 'girl does a beauty treatment'
 'spa treatment on the plane'
 'the president obama is giving a speech about americans'
 'this is a video of girl putting stickers on her eyes'
 'a women applying something to her face' 'girl does a beauty treatment'
 'spa treatment on the plane']",MSR-VTT,11,https://www.youtube.com/watch?v=COwWxX07qYU,70.53,81.13,1821,data/MSR-VTT/video1821.mp4
video2439,video2439.mp4,"['a woman is seen here applying make-up cream all over the face'
 'a woman massaging her face with green colour by using a brush'
 'a women with green hair band is applying make up'
 'a young girl massaging her face with green colour massage cream'
 'women with green hair bad is applying make up'
 'a video shows a woman donning special effects makeup'
 'a women is appling some green paste on her face with a brush'
 'a women is appling some green paste on her face with a brush'
 'a lady in an beautyparlour and she is doing their facial and massage'
 'a woman is doing green facial in her face'
 'a women herself making a makeup to his face applying green color makeup with brush'
 'a women can colouring on his face with green'
 'one women with makeup on his face full green'
 'a woman is putting make up with the green color cream'
 'a lady sits and applies green makeup to her face'
 'a woman shows how to apply makeup for a mask she is making on her face'
 'a woman is applying something like make-up to her face'
 'a make-up tips of using face base creama female is brushing her face with green color bace'
 'a woman is brushing green stuff on her face'
 'a woman is showing herself doing some makeup']",MSR-VTT,10,https://www.youtube.com/watch?v=XnXstsQdbUA,230.61,251.25,2439,data/MSR-VTT/video2439.mp4
video1528,video1528.mp4,"['there is a man making a dish with medium heated pan'
 'metal cookware is put on flame in low heat without any content'
 'to an empty metal vessel on flame someone pours some powder'
 'aman spraying a pan with oil that is sitting on a stove'
 'spray some oil into the pan after it gets heated'
 'a wide wok style frying pan is being heated to cook food'
 'there is a voice of a man talking about having a pan on medium high heat he is in middle of a demonstration of cooking something'
 'frying pan kept on the stove and some water splashed to it the water evaporated'
 'a large pan being sprayed with a liquid while on the stove'
 'a man is cooking a dish in the non stick pan'
 'a 10 inch nonstick pan being explained by a man narrating the video'
 'a chef getting ready a non-stick pan to cook food'
 'a man is cooking in a 10non stick pan on medium high heat'
 'person is showing how to prepare meal in the pan'
 'a man in a kitchen kept a thick 10 inc pan on gas to cook & drizzled salt'
 'a bowl pouring dish inside kitchen to prepare to serve to eat displaying on screen'
 'a man and a bowl pouring dish inside kitchen to prepare to serve to eat displaying on screen'
 'a ten inch non stick pan heated strongly gives out more heat for cooking'
 'a pan in grey color is seen and some steam like white smoke appears for some time then seen some white dots are sprayed on the pan'
 'a gray pan is sitting down on a srove']",MSR-VTT,17,https://www.youtube.com/watch?v=z2fp_rq7X2U,182.13,192.97,1528,data/MSR-VTT/video1528.mp4
video4932,video4932.mp4,"['a clip from a news show' 'a group of women are interviewed by a host'
 'a talk show host interviewing guest'
 'a woman interviews a couple on camera' 'a woman is talking'
 'an interview being conducted on pbs'
 'an interview on a television show is being done between three people'
 'people are sitting at a round table and speaking about current issues'
 'some people are talking something' 'the three women had a discussion'
 'three people talking on a news show'
 'three women are discussing elections' 'three women having a talk on tv'
 'three women talk about politics' 'three women talk around a table'
 'three women talking about politics' 'three women talking on a news show'
 'woman in talk show on tv' 'a talk show host interviewing guest'
 'a group of women are interviewed by a host']",MSR-VTT,15,https://www.youtube.com/watch?v=ccD73f8QRs0,253.6,267.01,4932,data/MSR-VTT/video4932.mp4
video4688,video4688.mp4,"['a band is performing a song' 'a band is preforming' 'a band performs'
 'a band preforms a song in a room' 'a guitarist is playing music'
 'a rock band is performing a song' 'band jamming out together'
 'guys are playing guitars' 'guys are singing in a band'
 'men are planing guitar music' 'men are playing guitars and dancing'
 'person playing a guitar' 'some people are dancing and singing'
 'three guys are playing guitar'
 'three guys are playing guitars while dancing around and singing'
 'three man s are singing dancing and playing guitar'
 'three men are playing guitars'
 'three people are playing guitars in a small room'
 'three people are playing with guitar ans singing songs'
 'three people playing guitar']",MSR-VTT,0,https://www.youtube.com/watch?v=0Q1DY3z-l2Y,160.43,177.43,4688,data/MSR-VTT/video4688.mp4
video4755,video4755.mp4,"['there is a man talking about james hunt'
 'there is a man talking about james hunt'
 'there is a name written on the screen with the other thing'
 'the text graphic james hunt is displayed in white lettering with an explosion and the number four following'
 'audio commentary saying how a racer wore helmets just like f1 racing legend james hunt'
 'a man speaks while an image of a name with three stripes explodes with flames'
 'a man is talking about a countdown while pictures are displayed'
 'the description and add about james hunt in 2014 was shown'
 'a man is talking about a james hunt'
 'a man is telling about a james hunt'
 'someone discussing the painting of forumula 1 driver helmets specifically one painted in homage to a late driver'
 'the name james hunt is displayed as the narrator describes helmets worn in honor of an f1 driver'
 'a male reporter describes a countdown list while video of the items plays'
 'an into to james hunt it looks exciting and thrilling'
 'a name appears in white next to stripes before a black mercedes symbol shows on yellow paint'
 'the name james hunt in bold white letters and a black mercedes symbol on yellow paint'
 'a guy speaking about a 70s formula 1 racer named james hunt'
 'advertisement about the show being shown on screen'
 'count to the events of different racers from worse to best'
 'a thing is being shown to people on a screen']",MSR-VTT,9,https://www.youtube.com/watch?v=WUJMl6_JnWQ,301.61,315.53,4755,data/MSR-VTT/video4755.mp4
video960,video960.mp4,"['a lady folding a stroller up'
 'a woman demonstrating a feature on a stroller'
 'a woman describing a baby stroller'
 'a woman explaining how to unfold the strap in a stroller'
 'a woman handles the strap on a stroller'
 'a woman installs straps on a chiild stroller'
 'a woman is demonstrating a feature of a stroller'
 'a woman is demonstrating a stoller'
 'a woman is showing how to put a baby carriage together'
 'a woman sets up a child stroller' 'a woman setting up a stroller'
 'a woman showing how to assemble a stroller seat'
 'a woman works on a stroller'
 'a women showing how to dismantle a stroller'
 'an instructional video on how to operate a stroller'
 'person using a bag' 'the woman takes apart the seat'
 'a women showing how to dismantle a stroller'
 'a woman sets up a child stroller' 'a woman is demonstrating a stoller']",MSR-VTT,9,https://www.youtube.com/watch?v=0s2m9Q9Hrzg,60.73,70.99,960,data/MSR-VTT/video960.mp4
video6268,video6268.mp4,"['a geyser is steaming' 'a hot spring' 'a hot vapour from a water'
 'a video of a hot spring' 'an aerial view of landscape'
 'an exploration of smoking volcanic landscape'
 'looks like a volcanic or very hot spring area'
 'rocks are there in forest' 'steam is rising from natural hot springs'
 'steam rising from hot water in a spring'
 'there are different views of rocks and water' 'there is a hot spring'
 'there is an hot surface recording going on'
 'this is a view from atop a crater' 'this video is about volcanoes'
 'video of hot springs between sand dunes'
 'water vapors out of a small pond'
 'video of hot springs between sand dunes'
 'an exploration of smoking volcanic landscape' 'a geyser is steaming']",MSR-VTT,11,https://www.youtube.com/watch?v=06DCNI3C19o,46.95,62.58,6268,data/MSR-VTT/video6268.mp4
video1220,video1220.mp4,"['a boy is showing how to play a video game'
 'a boy talking about screen resolution'
 'a boy talks about his screen resolution'
 'a boy talks about his screen resolution'
 'a computer monitor is shown and discussed' 'a kid plays a video game'
 'a kid speaking on his computer screen resolution'
 'a person is giving specifications about a flatscreen monitor'
 'a person talking about a computer monitor'
 'a person talking about a computer screen' 'a person using a computer'
 'a young boy videotapes his computer screen'
 'detailed description of monitor screen'
 'person talking about the game rust'
 'someone is describing the resolution of a computer screen'
 'someone is showing something in a computer and talking about that'
 'someone playing the game rust while giving commentary'
 'technical analysis of a tv screen' 'person talking about the game rust'
 'someone playing the game rust while giving commentary']",MSR-VTT,10,https://www.youtube.com/watch?v=rYP7v0ViktY,234.62,245.16,1220,data/MSR-VTT/video1220.mp4
video90,video90.mp4,"['a little dog runs across the floor'
 'a little white puppy runs around on a floor in a room and occasionally interacts with the cameraman s finger'
 'a person is filming is puppy playing'
 'a person is playing with a small dog' 'a puppy is playing'
 'a puppy is running to and away from the camera that is laid on the floor'
 'a puppy is running' 'a puppy runs plays and explores'
 'a really cute little puppy running around the floor'
 'a small puppy running toward a camera then running away'
 'a small white dog is scampeing across the floor'
 'a small white puppy is running around on the floor'
 'a woman talking on talkshow' 'cheer leaders are entertaining audience'
 'clip of dog on floor' 'dogs running around room'
 'puppies are in a room running around and looking at the camera'
 'puppy runs around excitedly'
 'small dog running from one place to another'
 'puppy runs around excitedly']",MSR-VTT,13,https://www.youtube.com/watch?v=AOjL8AoGzIg,73.2,95.97,90,data/MSR-VTT/video90.mp4
video765,video765.mp4,"['there are some apples cutting and some apple trees are there'
 'a woman discusses the different types of apples as well as their positive effects on health and skin'
 'the big red apples hang in the tree with the green leaves near'
 'the lady is telling the feature of the apple and the appearing lady is like as a beautyful apple'
 'apples are shown on a tree an a dark-haired woman is smiling into the camera a woman is explaining why apples are so healthy'
 'cut in half reveals its light-yellow flesh held within two curves with a pair of dark seeds centered below the stem'
 'visions of apples are portrayed as a woman’s voice comments on the benefits of apples'
 'a woman is talking while videos of apples and a woman smiling are showing on the screen'
 'chopped apple pieces on table apple on tree and women placing hand on her cheeks with a smile face'
 'sliced pieces of apple on a table on tree and a women keeping her hands on cheek giving a smile'
 'a woman is telling about the apple and the apple features'
 'apples in various forms (on a tree sliced open whole) are displayed while a female narrator extols the benefits of apples'
 'person is presenting the big red apples on the tree'
 'person is showing the red apples on the tree'
 'a bunch of different fruit is shown as a woman smiles'
 'a fruits inside garden and girl still image smiling face displaying on screen'
 'a red color apples inside forest and girl smiling face still picture displaying on screen'
 'a woman describing the benefits of eating apples while showing images of apples both whole and uncut and a woman with good complexion'
 'apples hanging from a tree outside and a woman speaking about the benefits'
 'apples anti-oxident properties promotes the production of collagen which maintain fresh youthful skin']",MSR-VTT,16,https://www.youtube.com/watch?v=VUyEPf-IvdM,226.01,245.96,765,data/MSR-VTT/video765.mp4
video2212,video2212.mp4,"['a man cooking food'
 'a man getting thrown back into the wrestling ring by another man'
 'a man is wrestling'
 'a wrestler picks another wrestler up and throws him into the ring'
 'a wrestler slams a wrestler on the mat' 'men wrestle in a ring'
 'people are doing wrestling' 'pro wrestlers having a wrestling match'
 'scene from wwe wrestling match'
 'two professional wrestlers are wrestling on the floor'
 'two wrestlers wrestling strongly' 'wrestlers are fighting in ring'
 'wrestling is on the field'
 'wrestling match taken in place between two men'
 'wwe live wrestling match' 'people are doing wrestling'
 'wrestling is on the field'
 'two professional wrestlers are wrestling on the floor'
 'a man is wrestling' 'scene from wwe wrestling match']",MSR-VTT,3,https://www.youtube.com/watch?v=BsadPwkvrTQ,57.14,67.55,2212,data/MSR-VTT/video2212.mp4
video4419,video4419.mp4,"['a larger woman shows off her red dress while standing on a pier'
 'a fat woman is standing on the bridge' 'a group is singing a song'
 'a woman displaying an outfit' 'a woman in a red dress'
 'a woman is giving pose for in outdoor' 'a woman is modeling clothes'
 'a woman is modelling for a piece of clothing'
 'a woman is showing off a dress'
 'a woman is showing off an outfit on a bridge'
 'a woman is showing off her fashion and hair' 'a woman models the dress'
 'a woman speaks to a camera for a video segment'
 'a woman standing on a bridge' 'girl shows off her red outfit'
 'the woman wore a beautiful outfit'
 'a woman is giving pose for in outdoor' 'a woman models the dress'
 'a woman in a red dress' 'a woman is modelling for a piece of clothing']",MSR-VTT,18,https://www.youtube.com/watch?v=aCFNYpOnGmE,0.0,17.19,4419,data/MSR-VTT/video4419.mp4
video6044,video6044.mp4,"['a girl singing and playing guiter in an auditoriam'
 'a lady singing song on a mic' 'a person is explaining something'
 'a variety of different shania twain performances' 'a woman is singing'
 'a woman is singing a song' 'a woman is singing a song'
 'a woman is singing a song in a stage' 'a woman is singing on stage'
 'a woman is singing' 'a woman preforms a song on stage'
 'a woman singing in a concert' 'a woman singing into a microphone'
 'a woman singing' 'shania twain singing on stage'
 'the girl is performing on stage' 'the woman plays her guitar'
 'a woman preforms a song on stage' 'a lady singing song on a mic'
 'a woman singing']",MSR-VTT,6,https://www.youtube.com/watch?v=-w5bqr7aq9Q,78.93,91.89,6044,data/MSR-VTT/video6044.mp4
video5130,video5130.mp4,"['a man in a black jacket sits at a desk and speaks to a camera while subtitles speed by underneath'
 'a man in a black suit jacket speaks while subtitles speed by below him'
 'there is a man reading morning news inside a studio'
 'there is a suit man handling a news hour'
 'male reporter in front of screen in an iranian broadcast'
 'the south indian language hindi tv channel sponsord programme is plying in well'
 'the hindi tv news channel a man read the news and wear black coat'
 'news reporter speaking in a foreign language on nbc'
 'a man is reading news in famous news channel'
 'a man wearing black coat and white shirt is giving news for subah laxmi news channel'
 'person in black suit is presenting the latest news for television'
 'person in black suit is talking about the latest news'
 'in a hindi news channel a black dress news reporter reporting the news headlines'
 'a man is reporting the news while reader boards play across the screen'
 'a man in a jacket sits at a desk and delivers news of the day'
 'a man in a suit delivers the news of the day'
 'a man on a tv show delivers news of the day'
 'a man on the news talks about the events of the day'
 'a news reader is reading the news in delhi and some flash news also going in the television'
 'a person with a black jacket is on tv']",MSR-VTT,4,https://www.youtube.com/watch?v=xHgufsY5qsg,7.34,19.04,5130,data/MSR-VTT/video5130.mp4
video4174,video4174.mp4,"['a celebrity talking to the camera'
 'a man answers questions about an actor' 'a man is being interviewed'
 'a man is being interviewed' 'a man is being interviewed'
 'a man is getting an interview'
 'a man is interviewed regarding the merits of an actor and his accomplishment'
 'a man is talking about a picture' 'a man playing video games'
 'a man showing something on the card' 'a man talking about a picture'
 'a man talking about doctor who' 'a man talking into a microphone'
 'a man talks about other people on a fashion set'
 'an interviewer is letting a man talk about another actor'
 'guy does an interview' 'man being interviewed by reporter'
 'man talks about other actors' 'a man is being interviewed'
 'man being interviewed by reporter']",MSR-VTT,7,https://www.youtube.com/watch?v=BOPPmhGDg38,213.97,231.37,4174,data/MSR-VTT/video4174.mp4
video2259,video2259.mp4,"['a display of new file on the monitor' 'a man commentates playing a game'
 'a man gives commentary about a plants vs zombies game'
 'a man is commentating while playing a video game'
 'a man is playing plants vs zombies garden warfare'
 'a man narrating while playing the video game plants versus zombies'
 'a man plays a game'
 'a man shows his game-play of a competitive video game'
 'a person is playing a video game' 'a person is playing a video game'
 'a video game plant runs around shooting other plants'
 'game play of plants vs zombies'
 'gameplay footage of someone playing a game'
 'guy is playing a video game'
 'plants vs zombies first person shooter gameplay footage'
 'video game footage from a cartoon fighting simulator is being shown'
 'a man gives commentary about a plants vs zombies game'
 'plants vs zombies first person shooter gameplay footage'
 'a man plays a game' 'gameplay footage of someone playing a game']",MSR-VTT,2,https://www.youtube.com/watch?v=2zPXSHZab2A,671.45,684.71,2259,data/MSR-VTT/video2259.mp4
video1072,video1072.mp4,"['a bollywood star is posing with other people'
 'a celebrity is posing in public' 'a famous girl is being photographed'
 'a female celebrity is photogrphed'
 'a group of star and a premire and photos'
 'a photo shoots of female celebrity'
 'a sexy actress is turning people on'
 'a video of a supermodel and her life'
 'a video shows several video clips of a celebrity'
 'a woman being photographed'
 'a woman is getting down from a car giving pose with others'
 'bollywood model caught on video and photo'
 'famous people are having pictures taken'
 'girl getting photographed a lot'
 'movie stars are posing for a picture and then an actress nude pictures are shown'
 'pictures and video of a woman with no close on and dressed up'
 'pictures of a woman in little clothing'
 'some scenes and pictures of an indian celebrity'
 'video showing pictures of a celebrity' 'a celebrity is posing in public']",MSR-VTT,0,https://www.youtube.com/watch?v=gCeyze__Eso,3.04,13.68,1072,data/MSR-VTT/video1072.mp4
video2871,video2871.mp4,"['a man describes an animate game featuring stairs and a cross hair target'
 'animated stairs and curving ramps are split by a cross hair target'
 'there is someone designing some steps on the floor'
 'the game has a grey screen and there is a writing on the floor called third person beside which few steps are there'
 'with a software the model of something in prepared and being explained'
 'a flight of stairs leads to a curved and angled platform above a rectangular box in a large room with gray floors and walls'
 'person speaking about educating tutorial'
 'a tutorial for the unreal engine and how to use it'
 'a man narrators a video tutorial of unreal 4 engine'
 'intro to tutorial of unreal engine 4 by virtus education'
 '3d images are great for anything you want to build'
 'man is trying to draw something on the computer'
 'person is trying to draw something using a program'
 'a computer screen displaying software and arrow pointing displaying on screen'
 'a graphics design program is featured in this how-to video'
 'a man is describing how to use the software unreal engine'
 'a man is narrating the unreal engine beginner s series'
 'a computer generation of a landscape editor that show steps up to a platform'
 'there is a computer generated scene with stairs going up to a platform and a man talk about the view'
 'a person is making a level in a video game']",MSR-VTT,10,https://www.youtube.com/watch?v=sTAVY8qtGbg,3.45,20.7,2871,data/MSR-VTT/video2871.mp4
video3280,video3280.mp4,"['a band is playing' 'a band is playing for an audience'
 'a band is playing music and singing indoors'
 'a band plays for an audience on stage'
 'a concert of andrew w and a crowd wildly moshing'
 'a heavy metal band plays in a basement'
 'a metal band playing before a crowd in an an intimate setting'
 'a rock band is performing live on stage'
 'a rock band performs for a crowd on a small stage in a club'
 'a rock band plays to a crowd'
 'a rock concert with a man singing at the front'
 'a singer performing on the stage' 'all singers singing on a stage show'
 'audience enjoying by watching the performance of the singing troop'
 'metal band playing live music' 'musicians on stage performing'
 'the artists performed on stage' 'the band plays their song'
 'this is a clip from a concert' 'all singers singing on a stage show']",MSR-VTT,0,https://www.youtube.com/watch?v=2oHBrJe3vUQ,135.97,151.81,3280,data/MSR-VTT/video3280.mp4
video5761,video5761.mp4,"['a gamer describes his minecraft project'
 'a guy is building things in mine craft the video game'
 'a guy is playing minecraft'
 'a man demonstrates how to build things in minecraft'
 'a man narrates his minecraft gameplay'
 'a person is playing a video game'
 'a person is playing and talking about the video game minecraft'
 'a person is playing video game of hitting'
 'clip shows some kind of video game'
 'guy jumps down from a platform on minecraft' 'minecraft video game play'
 'preparing a stage for some shows'
 'someone is building a house in minecraft out of yellow wool blocks'
 'the video game had outdated graphics'
 'there is a man doing commentary on the video game minecraft'
 'someone is building a house in minecraft out of yellow wool blocks'
 'clip shows some kind of video game'
 'a man demonstrates how to build things in minecraft'
 'a gamer describes his minecraft project'
 'a gamer describes his minecraft project']",MSR-VTT,2,https://www.youtube.com/watch?v=C4icy-aPRSk,851.48,862.25,5761,data/MSR-VTT/video5761.mp4
